Title,Source,Published At,URL
"On Its Official Store, Samsung Is Offering -50% on Its OLED TVs For Early Black Friday",Gizmodo.com,2024-11-09T19:09:06Z,https://gizmodo.com/on-its-official-store-samsung-is-offering-50-on-its-oled-tvs-for-early-black-friday-2000522569
"Before Black Friday, Amazon Is Slashing The Price of Google’s Foldable Phone to a Record Low Price",Gizmodo.com,2024-11-10T13:10:18Z,https://gizmodo.com/before-black-friday-amazon-is-slashing-the-price-of-googles-foldable-phone-to-a-record-low-price-2000522645
Rolls-Royce is in talks to use its compact nuclear reactors to power data centers and space missions,Business Insider,2024-11-18T15:17:13Z,https://www.businessinsider.com/rolls-royce-micro-nuclear-power-space-missions-data-centers-2024-11
"Russia could give China submarine tech that would cut into US undersea dominance, US admiral says",Business Insider,2024-11-25T13:08:39Z,https://www.businessinsider.com/us-admiral-says-russia-aiding-china-submarine-technology-us-dominance-2024-11
Elon Musk calls F-35 makers 'idiots' while championing drone tech,Business Insider,2024-11-25T21:08:40Z,https://www.businessinsider.com/elon-musk-calls-f-35-makers-idiots-championing-drone-tech-2024-11
"8 Best MagSafe Wallets (2024), Tested and Reviewed",Wired,2024-11-20T13:30:00Z,https://www.wired.com/gallery/best-magsafe-wallets/
This MSI Gaming PC With an RTX 4070 Costs Just Slightly More Than The RTX 4070 Itself,Gizmodo.com,2024-11-26T17:27:25Z,https://gizmodo.com/this-msi-gaming-pc-with-an-rtx-4070-costs-just-slightly-more-than-the-rtx-4070-itself-2000530284
Why Soccer Players Are Training in the Dark,Wired,2024-12-06T11:00:00Z,https://www.wired.com/story/why-soccer-players-are-training-in-the-dark-okkolo-football-sunderland-leeds-united-neuroscience/
[Removed],[Removed],2024-11-20T13:00:04Z,https://removed.com
[Removed],[Removed],2024-11-12T15:00:40Z,https://removed.com
Automatic Braking Systems Save Lives. Now They'll Need to Work at 62 MPH,Wired,2024-11-18T12:30:00Z,https://www.wired.com/story/automatic-emergency-braking-systems-62-mph/
"Elon Musk ‘Doesn’t Know How to Make a Battery,’ Rival Says",Gizmodo.com,2024-11-15T15:35:23Z,https://gizmodo.com/elon-musk-doesnt-know-how-to-make-a-battery-rival-says-2000525007
"The EcoFlow Delta 2 Battery Is $399 Down From $999, Amazon Is Going All In For Black Friday",Gizmodo.com,2024-11-30T01:30:59Z,https://gizmodo.com/the-ecoflow-delta-2-battery-is-399-down-from-999-amazon-is-going-all-in-for-black-friday-2000532060
Apple Has Lost Its Mind: The Newest MacBook Pros M4 Are at a Record Low on Amazon,Gizmodo.com,2024-11-29T11:30:09Z,https://gizmodo.com/apple-has-lost-its-mind-the-newest-macbook-pros-m4-are-at-a-record-low-on-amazon-2000531735
AI’s math problem: FrontierMath benchmark shows how far technology still has to go,VentureBeat,2024-11-11T14:01:00Z,https://venturebeat.com/ai/ais-math-problem-frontiermath-benchmark-shows-how-far-technology-still-has-to-go/
Georgia Tech joins Apple’s new silicon engineering initiative,VentureBeat,2024-11-12T13:00:00Z,https://venturebeat.com/ai/georgia-tech-joins-apples-new-silicon-engineering-initiative/
The biggest news from Amazon re:Invent 2024,VentureBeat,2024-12-04T13:57:05Z,https://venturebeat.com/ai/the-biggest-news-from-amazon-reinvent-2024/
"Samsung’s Best S95D OLED TV Is Now $1,100 Off For Black Friday, Hitting a Record Low Price",Gizmodo.com,2024-11-24T16:48:53Z,https://gizmodo.com/samsungs-best-s95d-oled-tv-is-now-1100-off-for-black-friday-hitting-a-record-low-price-2000529198
"This Tineco Model Washes And Vacuums Floors, Now Available at 44% Off For Black Friday",Gizmodo.com,2024-11-25T12:40:42Z,https://gizmodo.com/this-tineco-model-washes-and-vacuums-floors-now-available-at-44-off-for-black-friday-2000529296
Tesla won the plug war. Enter the age of the EV charging adapter,NPR,2024-11-22T10:00:00Z,https://www.npr.org/2024/11/21/nx-s1-5199958/tech-tesla-ev-adaptor-supercharger
Choose Boring Technology and LLMs,Maragu.dev,2024-11-08T12:20:41Z,https://www.maragu.dev/blog/choose-boring-technology-and-llms
RFK Jr. Wants the Internet to Pick Trump’s Top Health and Tech Experts,Gizmodo.com,2024-11-10T17:00:28Z,https://gizmodo.com/rfk-jr-wants-the-internet-to-pick-trumps-top-health-and-tech-experts-2000522398
Is Enron Coming Back as a Crypto Company?,Gizmodo.com,2024-12-03T13:25:41Z,https://gizmodo.com/is-enron-coming-back-as-a-crypto-company-2000533233
"Amazon Cuts Prices on Beats Studio Pro Headphones, Now 54% Off for Cyber Monday",Gizmodo.com,2024-12-02T13:10:30Z,https://gizmodo.com/amazon-cuts-prices-on-beats-studio-pro-headphones-now-54-off-for-cyber-monday-2000532644
"The Galaxy Buds 3 Pro Are 56% Off, as Samsung Clears Its Stock on Day 1 of Black Friday",Gizmodo.com,2024-11-22T13:42:36Z,https://gizmodo.com/the-galaxy-buds-3-pro-are-56-off-as-samsung-clears-its-stock-on-day-1-of-black-friday-2000528280
"For Black Friday, Amazon Is Taking 40% Off All Samsung T9 SSDs (1TB, 2TB, And 4TB)",Gizmodo.com,2024-11-23T15:10:01Z,https://gizmodo.com/for-black-friday-amazon-is-taking-40-off-all-samsung-t9-ssds-1tb-2tb-and-4tb-2000528948
"Amazon Has Lowered The Price of AirTags Once More, And We Highly Recommend The 4-Pack Option",Gizmodo.com,2024-11-24T14:31:49Z,https://gizmodo.com/amazon-has-lowered-the-price-of-airtags-once-more-and-we-highly-recommend-the-4-pack-option-2000529190
"Sony Is Killing it, Our Favorite WH-1000XM5 Headphones at a Record Low Price on Amazon",Gizmodo.com,2024-11-28T16:42:33Z,https://gizmodo.com/sony-is-killing-it-our-favorite-wh-1000xm5-headphones-at-a-record-low-price-on-amazon-2000531630
The Braun Electric Shaver Has Been Trimmed Down to a Record-Low Price for Black Friday,Gizmodo.com,2024-11-25T19:02:42Z,https://gizmodo.com/the-braun-electric-shaver-has-been-trimmed-down-to-a-record-low-price-for-black-friday-2000528635
"Netflix Lacks a Lifetime Plan, But CuriosityStream Offers a Lifetime Subscription for Just $160 This Black Friday",Gizmodo.com,2024-11-29T22:00:28Z,https://gizmodo.com/netflix-lacks-a-lifetime-plan-but-curiositystream-offers-a-lifetime-subscription-for-just-160-this-black-friday-2000531576
"Apple’s AirPods Pro 2 Are Almost 40% Off, And This Is Not a Mistake In Pricing",Gizmodo.com,2024-11-22T10:28:55Z,https://gizmodo.com/apples-airpods-pro-2-are-almost-40-off-and-this-is-not-a-mistake-pricing-2000528073
Bose Goes Big This Cyber Monday: The Most Popular Headphones Are Now 43% Off at a Record Low,Gizmodo.com,2024-12-02T16:05:02Z,https://gizmodo.com/bose-goes-big-this-cyber-monday-the-most-popular-headphones-are-now-43-off-at-a-record-low-2000532866
These Temporary Tattoos Can Read Your Brainwaves,Gizmodo.com,2024-12-03T19:25:35Z,https://gizmodo.com/these-temporary-tattoos-can-read-your-brainwaves-2000533460
"Amazon Didn’t Acquire iRobot, But The Roomba i5+ Is Still at a 46% Off For Early Black Friday",Gizmodo.com,2024-11-11T13:40:38Z,https://gizmodo.com/amazon-didnt-acquire-irobot-but-the-roomba-i5-is-still-at-a-46-off-for-early-black-friday-2000522907
"The Garmin Fenix 7X Pro Is at a Record Low Price, Now 35% Off on Amazon",Gizmodo.com,2024-11-18T21:32:41Z,https://gizmodo.com/the-garmin-fenix-7x-pro-is-at-a-record-low-price-now-35-off-on-amazon-2000526063
"Amazon Is Taking $1,500 Off This LG OLED C4 TV, Black Friday Starts Very Early",Gizmodo.com,2024-11-19T17:10:23Z,https://gizmodo.com/amazon-is-taking-1500-off-this-lg-oled-c4-tv-black-friday-starts-very-early-2000526452
"Apple’s AirPods Pro 2 Are Almost 40% Off, And This Is Not a Mistake In Pricing",Gizmodo.com,2024-11-21T22:45:55Z,https://gizmodo.com/apples-airpods-pro-2-are-almost-40-off-and-this-is-not-a-mistake-in-pricing-2000528073
Amazon Is Clearing out Stock of The ASUS ROG Strix G16 (RTX 4060) at a Record Low Price For Black Friday,Gizmodo.com,2024-11-28T15:25:15Z,https://gizmodo.com/amazon-is-clearing-out-stock-of-the-asus-rog-strix-g16-rtx-4060-at-a-record-low-price-for-black-friday-2000531400
It’s a cross-platform world — 61% of U.S. gamers play across multiple devices | exclusive CTA survey,VentureBeat,2024-12-05T17:00:00Z,https://venturebeat.com/games/its-a-cross-platform-world-61-of-u-s-gamers-play-across-multiple-devices-cta-survey/
Quicksave announces QSApp to make WebGL more accessible through no-code editors,VentureBeat,2024-11-20T07:00:00Z,https://venturebeat.com/games/quicksave-announces-qsapp-to-make-webgl-more-accessible-through-no-code-editors/
Anomalo’s unstructured data solution cuts enterprise AI deployment time by 30%,VentureBeat,2024-11-21T14:00:00Z,https://venturebeat.com/data-infrastructure/anomalo-aims-to-accelerate-deployment-of-enterprise-ai-by-30-with-unstructured-data-quality-monitoring/
LG Display’s stretchable screen is now even stretchier,The Verge,2024-11-12T14:01:35Z,https://www.theverge.com/2024/11/12/24294480/lg-display-stretchable-screen-expands
"Microsoft is the mystery AI company licensing HarperCollins books, says Bloomberg",The Verge,2024-11-19T21:37:10Z,https://www.theverge.com/2024/11/19/24300893/microsoft-ai-training-deal-harpercollins-report
Threads’ custom feeds are already rolling out,The Verge,2024-11-20T17:31:00Z,https://www.theverge.com/2024/11/20/24301587/threads-custom-feeds-rolling-out
Bluesky has been acting up today,The Verge,2024-11-14T17:54:42Z,https://www.theverge.com/2024/11/14/24296537/bluesky-acting-up-outage-down
iFixit now sells official Xbox parts,The Verge,2024-12-06T01:02:12Z,https://www.theverge.com/2024/12/5/24314464/ifixit-now-sells-official-xbox-parts
Thinking about jobs,Seths.blog,2024-12-01T10:03:00Z,https://seths.blog/2024/12/thinking-about-jobs/
When the media is ready (Bongo part 2),Seths.blog,2024-11-21T14:03:00Z,https://seths.blog/2024/11/when-the-media-is-ready-bongo-part-2/
How Aardman Mixed Past and Future in Its Return to Wallace and Gromit,Gizmodo.com,2024-11-21T13:00:24Z,https://gizmodo.com/wallace-and-gromit-vengeance-most-fowl-netflix-set-visit-nick-park-merlin-crossingham-2000527162
Google Photos is getting an Updates page to help you follow changes to shared albums,The Verge,2024-11-07T22:35:33Z,https://www.theverge.com/2024/11/7/24290815/google-photos-updates-changes-shared-albums
Landlords Are Using AI to Raise Rents—and Cities Are Starting to Push Back,Gizmodo.com,2024-12-07T16:00:12Z,https://gizmodo.com/landlords-are-using-ai-to-raise-rents-and-cities-are-starting-to-push-back-2000535519
A Short Introduction to Automotive Lidar Technology,Viksnewsletter.com,2024-11-25T20:12:27Z,https://www.viksnewsletter.com/p/short-intro-to-automotive-lidar
Amazon Is Building a Mega AI Supercomputer With Anthropic,Wired,2024-12-03T18:13:31Z,https://www.wired.com/story/amazon-reinvent-anthropic-supercomputer/
Australia Is Moving to Ban Children From Social Media. Will It Work?,Time,2024-11-26T11:03:40Z,https://time.com/7198568/australia-social-media-ban-children/
The Chinese Queen of Cottagecore Has Suddenly Reappeared After Three Years,Wired,2024-11-13T19:28:41Z,https://www.wired.com/story/li-ziqi-china-youtube-reappeared/
"Nvidia shows AI model that can modify voices, generate novel sounds",Yahoo Entertainment,2024-11-25T14:01:31Z,https://finance.yahoo.com/news/nvidia-shows-ai-model-modify-140131140.html
"Apple plans three-year modem rollout to compete with Qualcomm, Bloomberg News reports",Yahoo Entertainment,2024-12-06T17:52:07Z,https://finance.yahoo.com/news/apple-plans-three-modem-rollout-175207839.html
These Guys Hacked AirPods to Give Their Grandmas Hearing Aids,Wired,2024-11-13T19:07:15Z,https://www.wired.com/story/apple-airpods-hearing-aid-hack/
Life Extension Could Be a Threat to Human Existence,Gizmodo.com,2024-11-26T15:05:35Z,https://gizmodo.com/life-extension-could-be-a-threat-to-human-existence-2000529903
"The Kindle E-Reader Is at a Record Low Price, Amazon Has Added More Stock For Cyber Monday",Gizmodo.com,2024-12-01T20:59:24Z,https://gizmodo.com/the-kindle-e-reader-is-at-a-record-low-price-amazon-has-added-more-stock-for-cyber-monday-2000532543
"Amazon Is Clearing Out AirTags This Cyber Monday, Now at a Record Low Price Until They Sell Out",Gizmodo.com,2024-12-01T16:30:02Z,https://gizmodo.com/amazon-is-clearing-out-airtags-this-cyber-monday-now-at-a-record-low-price-until-they-sell-out-2000532478
"Amazon Cuts Price by 25% on This PS5 Bundle With NBA 2K25, The PS5 Has Never Been Cheaper",Gizmodo.com,2024-11-27T12:40:41Z,https://gizmodo.com/amazon-cuts-price-by-25-on-this-ps5-bundle-with-nba-2k25-the-ps5-has-never-been-cheaper-2000530678
Man Who Received Historic Pig Kidney Transplant Did Not Die From It,Gizmodo.com,2024-11-14T20:20:34Z,https://gizmodo.com/man-who-received-historic-pig-kidney-transplant-did-not-die-from-it-2000524601
"Forget the Fenix 8, Amazon Is Offering the Garmin Fenix 7X Pro Sapphire Solar at a Record Low Price",Gizmodo.com,2024-11-25T12:10:12Z,https://gizmodo.com/forget-the-fenix-8-amazon-is-offering-the-garmin-fenix-7x-pro-sapphire-solar-at-a-record-low-price-2000529288
